t,x,y,z
21.52,-1.714195731,-0.3499730134,0
21.53,-1.712977406,-0.3505934988,0
21.54,-1.711757922,-0.3512124186,0
21.55,-1.710537289,-0.3518297729,0
21.56,-1.709315517,-0.3524455613,0
21.57,-1.708092618,-0.3530597837,0
21.58,-1.706868603,-0.3536724397,0
21.59,-1.705643482,-0.3542835289,0
21.6,-1.704417268,-0.3548930508,0
21.61,-1.703189971,-0.3555010049,0
21.62,-1.701961603,-0.3561073906,0
21.63,-1.700732177,-0.3567122073,0
21.64,-1.699501705,-0.3573154543,0
21.65,-1.698270198,-0.3579171309,0
21.66,-1.697037669,-0.3585172362,0
21.67,-1.69580413,-0.3591157694,0
21.68,-1.694569595,-0.3597127296,0
21.69,-1.693334076,-0.360308116,0
21.7,-1.692097585,-0.3609019274,0
21.71,-1.690860137,-0.361494163,0
21.72,-1.689621744,-0.3620848216,0
21.73,-1.68838242,-0.3626739021,0
21.74,-1.687142179,-0.3632614035,0
21.75,-1.685901033,-0.3638473246,0
21.76,-1.684658998,-0.3644316642,0
21.77,-1.683416086,-0.3650144211,0
21.78,-1.682172312,-0.3655955941,0
21.79,-1.680927691,-0.3661751819,0
21.8,-1.679682237,-0.3667531832,0
21.81,-1.678435963,-0.3673295967,0
21.82,-1.677188886,-0.3679044212,0
21.83,-1.675941018,-0.3684776552,0
21.84,-1.674692377,-0.3690492975,0
21.85,-1.673442975,-0.3696193467,0
21.86,-1.672192829,-0.3701878015,0
21.87,-1.670941954,-0.3707546603,0
21.88,-1.669690364,-0.371319922,0
21.89,-1.668438076,-0.3718835851,0
21.9,-1.667185105,-0.3724456482,0
21.91,-1.665931465,-0.37300611,0
21.92,-1.664677174,-0.3735649691,0
21.93,-1.663422246,-0.374122224,0
21.94,-1.662166697,-0.3746778735,0
21.95,-1.660910544,-0.3752319162,0
21.96,-1.659653802,-0.3757843507,0
21.97,-1.658396487,-0.3763351758,0
21.98,-1.657138615,-0.37688439,0
21.99,-1.655880203,-0.3774319921,0
22,-1.654621266,-0.3779779808,0
22.01,-1.653361821,-0.3785223549,0
22.02,-1.652101884,-0.379065113,0
22.03,-1.650841471,-0.379606254,0
22.04,-1.649580599,-0.3801457767,0
22.05,-1.648319284,-0.3806836799,0
22.06,-1.647057542,-0.3812199625,0
22.07,-1.64579539,-0.3817546233,0
22.08,-1.644532844,-0.3822876613,0
22.09,-1.64326992,-0.3828190754,0
22.1,-1.642006636,-0.3833488647,0
22.11,-1.640743007,-0.3838770281,0
22.12,-1.63947905,-0.3844035648,0
22.13,-1.638214781,-0.3849284738,0
22.14,-1.636950217,-0.3854517542,0
22.15,-1.635685374,-0.3859734054,0
22.16,-1.634420268,-0.3864934265,0
22.17,-1.633154916,-0.3870118168,0
