t,x,y,z
3.14,-1.41182826966862,2.80873606055313,0
3.15,-1.41425712098177,2.81049693378781,0
3.16,-1.41669124397688,2.81225051255556,0
3.17,-1.41913061674686,2.81399678107417,0
3.18,-1.42157521733736,2.81573572362725,0
3.19,-1.424025023747,2.81746732456433,0
3.2,-1.42648001392754,2.819191568301,0
3.21,-1.42894016578409,2.82090843931908,0
3.22,-1.43140545717529,2.82261792216676,0
3.23,-1.43387586591353,2.82432000145868,0
3.24,-1.43635136976516,2.82601466187616,0
3.25,-1.43883194645066,2.82770188816726,0
3.26,-1.44131757364485,2.82938166514695,0
3.27,-1.44380822897711,2.83105397769725,0
3.28,-1.44630389003155,2.83271881076736,0
3.29,-1.44880453434725,2.8343761493738,0
3.3,-1.45131013941841,2.83602597860052,0
3.31,-1.45382068269462,2.83766828359908,0
3.32,-1.456336141581,2.83930304958874,0
3.33,-1.45885649343843,2.84093026185662,0
3.34,-1.46138171558377,2.84254990575782,0
3.35,-1.46391178529003,2.84416196671556,0
3.36,-1.46644667978661,2.84576643022129,0
3.37,-1.46898637625946,2.84736328183486,0
3.38,-1.47153085185135,2.84895250718461,0
3.39,-1.474080083662,2.85053409196753,0
3.4,-1.47663404874835,2.85210802194936,0
3.41,-1.47919272412473,2.85367428296475,0
3.42,-1.48175608676307,2.85523286091735,0
3.43,-1.48432411359314,2.85678374177998,0
3.44,-1.4868967815027,2.85832691159471,0
3.45,-1.48947406733777,2.85986235647303,0
3.46,-1.49205594790278,2.86139006259595,0
3.47,-1.49464239996084,2.86291001621412,0
3.48,-1.49723340023388,2.86442220364797,0
3.49,-1.49982892540293,2.86592661128782,0
3.5,-1.50242895210827,2.86742322559402,0
3.51,-1.50503345694969,2.86891203309704,0
3.52,-1.50764241648665,2.87039302039762,0
3.53,-1.51025580723854,2.8718661741669,0
3.54,-1.51287360568486,2.87333148114649,0
3.55,-1.51549578826544,2.87478892814865,0
3.56,-1.51812233138065,2.87623850205637,0
3.57,-1.52075321139163,2.87768018982347,0
3.58,-1.52338840462048,2.8791139784748,0
3.59,-1.52602788735046,2.88053985510625,0
3.6,-1.52867163582626,2.88195780688495,0
3.61,-1.53131962625415,2.88336782104934,0
3.62,-1.53397183480225,2.8847698849093,0
3.63,-1.53662823760068,2.88616398584627,0
3.64,-1.53928881074185,2.88755011131335,0
3.65,-1.54195353028062,2.88892824883542,0
3.66,-1.54462237223452,2.89029838600925,0
3.67,-1.54729531258399,2.89166051050362,0
3.68,-1.5499723272726,2.89301461005941,0
3.69,-1.55265339220722,2.89436067248974,0
3.7,-1.55533848325829,2.89569868568005,0
3.71,-1.55802757626002,2.89702863758823,0
3.72,-1.56072064701057,2.89835051624474,0
3.73,-1.56341767127233,2.89966430975266,0
3.74,-1.56611862477211,2.90097000628786,0
3.75,-1.56882348320133,2.9022675940991,0
3.76,-1.5715322222163,2.90355706150807,0
3.77,-1.57424481743837,2.90483839690959,0
3.78,-1.57696124445421,2.90611158877164,0
3.79,-1.579681478816,2.90737662563552,0
3.8,-1.58240549604164,2.90863349611588,0
3.81,-1.585133271615,2.90988218890092,0
3.82,-1.58786478098611,2.91112269275239,0
3.83,-1.59059999957141,2.91235499650579,0
3.84,-1.59333890275395,2.91357908907037,0
3.85,-1.59608146588363,2.91479495942931,0
3.86,-1.59882766427738,2.9160025966398,0
3.87,-1.60157747321945,2.9172019898331,0
3.88,-1.60433086796156,2.91839312821468,0
3.89,-1.6070878237232,2.91957600106431,0
3.9,-1.60984831569177,2.92075059773614,0
3.91,-1.61261231902286,2.9219169076588,0
3.92,-1.61537980884047,2.92307492033551,0
3.93,-1.61815076023721,2.92422462534417,0
3.94,-1.62092514827452,2.92536601233745,0
3.95,-1.62370294798294,2.92649907104285,0
3.96,-1.62648413436229,2.92762379126288,0
3.97,-1.62926868238191,2.92874016287504,0
3.98,-1.63205656698088,2.929848175832,0
3.99,-1.63484776306827,2.93094782016166,0
4,-1.63764224552333,2.93203908596723,0
4.01,-1.64043998919573,2.93312196342731,0
4.02,-1.6432409689058,2.93419644279601,0
4.03,-1.64604515944474,2.93526251440304,0
4.04,-1.64885253557486,2.93632016865375,0
4.05,-1.65166307202978,2.93736939602927,0
4.06,-1.65447674351471,2.93841018708654,0
4.07,-1.65729352470661,2.93944253245847,0
4.08,-1.66011339025448,2.94046642285395,0
4.09,-1.66293631477954,2.94148184905797,0
4.1,-1.6657622728755,2.9424888019317,0
4.11,-1.66859123910874,2.94348727241257,0
4.12,-1.67142318801859,2.94447725151437,0
4.13,-1.67425809411753,2.94545873032727,0
4.14,-1.67709593189143,2.94643170001799,0
4.15,-1.67993667579976,2.94739615182979,0
4.16,-1.68278030027585,2.94835207708262,0
4.17,-1.68562677972709,2.94929946717316,0
4.18,-1.68847608853519,2.9502383135749,0
4.19,-1.6913282010564,2.95116860783823,0
4.2,-1.69418309162171,2.95209034159052,0
4.21,-1.69704073453713,2.95300350653615,0
4.22,-1.6999011040839,2.95390809445666,0
4.23,-1.7027641745187,2.95480409721076,0
4.24,-1.70562992007393,2.95569150673443,0
4.25,-1.70849831495789,2.95657031504099,0
4.26,-1.71136933335505,2.95744051422117,0
4.27,-1.71424294942626,2.95830209644318,0
4.28,-1.71711913730899,2.9591550539528,0
4.29,-1.71999787111758,2.9599993790734,0
4.3,-1.72287912494344,2.96083506420607,0
4.31,-1.72576287285531,2.96166210182965,0
4.32,-1.72864908889947,2.96248048450081,0
4.33,-1.73153774709999,2.9632902048541,0
4.34,-1.73442882145898,2.96409125560205,0
4.35,-1.73732228595679,2.96488362953521,0
4.36,-1.74021811455224,2.96566731952221,0
4.37,-1.74311628118292,2.96644231850986,0
4.38,-1.74601675976533,2.96720861952316,0
4.39,-1.74891952419518,2.96796621566542,0
4.4,-1.75182454834763,2.96871510011827,0
4.41,-1.75473180607746,2.96945526614175,0
4.42,-1.75764127121938,2.97018670707439,0
4.43,-1.76055291758823,2.97090941633321,0
4.44,-1.7634667189792,2.97162338741384,0
4.45,-1.76638264916811,2.97232861389053,0
4.46,-1.76930068191159,2.97302508941627,0
4.47,-1.77222079094738,2.97371280772277,0
4.48,-1.77514294999452,2.97439176262058,0
4.49,-1.77806713275358,2.97506194799909,0
4.5,-1.78099331290696,2.97572335782666,0
4.51,-1.78392146411904,2.97637598615059,0
4.52,-1.78685156003648,2.97701982709724,0
4.53,-1.78978357428845,2.97765487487204,0
4.54,-1.79271748048682,2.97828112375956,0
4.55,-1.79565325222648,2.97889856812357,0
4.56,-1.79859086308548,2.97950720240708,0
4.57,-1.80153028662536,2.98010702113238,0
4.58,-1.80447149639132,2.9806980189011,0
4.59,-1.80741446591249,2.98128019039428,0
4.6,-1.81035916870217,2.98185353037236,0
4.61,-1.81330557825804,2.9824180336753,0
4.62,-1.81625366806246,2.98297369522256,0
4.63,-1.81920341158262,2.98352051001321,0
4.64,-1.82215478227086,2.9840584731259,0
4.65,-1.82510775356485,2.98458757971897,0
4.66,-1.82806229888789,2.98510782503048,0
4.67,-1.83101839164907,2.98561920437821,0
4.68,-1.83397600524359,2.98612171315975,0
4.69,-1.83693511305294,2.98661534685253,0
4.7,-1.83989568844517,2.98710010101385,0
4.71,-1.84285770477512,2.98757597128092,0
4.72,-1.84582113538467,2.98804295337092,0
4.73,-1.84878595360297,2.98850104308101,0
4.74,-1.85175213274666,2.98895023628838,0
4.75,-1.85471964612015,2.9893905289503,0
4.76,-1.85768846701585,2.98982191710413,0
4.77,-1.86065856871438,2.9902443968674,0
4.78,-1.86362992448486,2.99065796443777,0
4.79,-1.86660250758509,2.99106261609316,0
4.8,-1.86957629126185,2.99145834819169,0
4.81,-1.87255124875112,2.99184515717177,0
4.82,-1.87552735327828,2.99222303955214,0
4.83,-1.87850457805843,2.99259199193185,0
4.84,-1.88148289629655,2.99295201099033,0
4.85,-1.88446228118781,2.99330309348742,0
4.86,-1.88744270591775,2.99364523626337,0
4.87,-1.89042414366258,2.9939784362389,0
4.88,-1.89340656758938,2.99430269041521,0
4.89,-1.89638995085635,2.99461799587402,0
4.9,-1.89937426661307,2.99492434977758,0
4.91,-1.9023594880007,2.99522174936871,0
4.92,-1.90534558815229,2.99551019197081,0
4.93,-1.90833254019294,2.99578967498791,0
4.94,-1.91132031724011,2.99606019590465,0
4.95,-1.91430889240383,2.99632175228635,0
4.96,-1.91729823878694,2.99657434177901,0
4.97,-1.92028832948534,2.99681796210931,0
4.98,-1.92327913758824,2.99705261108469,0
4.99,-1.92627063617838,2.9972782865933,0
5,-1.9292627983323,2.99749498660405,0
5.01,-1.93225559712055,2.99770270916667,0
5.02,-1.93524900560798,2.99790145241163,0
5.03,-1.93824299685391,2.99809121455026,0
5.04,-1.94123754391246,2.9982719938747,0
5.05,-1.94423261983272,2.99844378875792,0
5.06,-1.94722819765902,2.99860659765379,0
5.07,-1.95022425043119,2.99876041909702,0
5.08,-1.95322075118476,2.99890525170322,0
5.09,-1.95621767295126,2.9990410941689,0
5.1,-1.95921498875841,2.99916794527148,0
5.11,-1.96221267163038,2.99928580386929,0
5.12,-1.96521069458806,2.99939466890161,0
5.13,-1.96820903064924,2.99949453938865,0
5.14,-1.97120765282894,2.99958541443159,0
5.15,-1.97420653413957,2.99966729321255,0
5.16,-1.97720564759122,2.99974017499462,0
5.17,-1.98020496619188,2.99980405912185,0
5.18,-1.98320446294771,2.99985894501931,0
5.19,-1.98620411086327,2.99990483219301,0
5.2,-1.98920388294173,2.99994172022997,0
5.21,-1.99220375218518,2.99996960879819,0
5.22,-1.9952036915948,2.99998849764669,0
5.23,-1.99820367417116,2.99999838660546,0
5.24,-2.00120367291445,2.9999992755855,0
5.25,-2.00420366082469,2.9999911645788,0
5.26,-2.00720361090201,2.99997405365838,0
5.27,-2.01020349614688,2.99994794297822,0
5.28,-2.01320328956035,2.99991283277333,0
5.29,-2.0162029641443,2.99986872335969,0
5.3,-2.01920249290169,2.99981561513429,0
5.31,-2.02220184883677,2.9997535085751,0
5.32,-2.02520100495537,2.99968240424109,0
5.33,-2.02819993426508,2.99960230277218,0
5.34,-2.03119860977558,2.9995132048893,0
5.35,-2.0341970044988,2.99941511139431,0
5.36,-2.03719509144922,2.99930802317008,0
5.37,-2.04019284364406,2.99919194118037,0
5.38,-2.04319023410357,2.99906686646995,0
5.39,-2.04618723585128,2.99893280016446,0
5.4,-2.04918382191417,2.99878974347052,0
5.41,-2.052179965323,2.99863769767563,0
5.42,-2.05517563911249,2.99847666414821,0
5.43,-2.0581708163216,2.99830664433754,0
5.44,-2.06116546999376,2.99812763977381,0
5.45,-2.0641595731771,2.99793965206807,0
5.46,-2.06715309892471,2.99774268291219,0
5.47,-2.07014602029489,2.9975367340789,0
5.48,-2.07313831035136,2.99732180742173,0
5.49,-2.07612994216353,2.99709790487503,0
5.5,-2.07912088880673,2.99686502845392,0
5.51,-2.08211112336247,2.99662318025428,0
5.52,-2.08510061891866,2.99637236245274,0
5.53,-2.08808934856984,2.99611257730667,0
5.54,-2.09107728541749,2.99584382715413,0
5.55,-2.09406440257018,2.99556611441386,0
5.56,-2.09705067314388,2.99527944158529,0
5.57,-2.10003607026218,2.99498381124845,0
5.58,-2.10302056705652,2.99467922606404,0
5.59,-2.10600413666645,2.9943656887733,0
5.6,-2.10898675223987,2.99404320219808,0
5.61,-2.11196838693326,2.99371176924074,0
5.62,-2.11494901391191,2.99337139288419,0
5.63,-2.11792860635022,2.99302207619181,0
5.64,-2.12090713743187,2.99266382230745,0
5.65,-2.1238845803501,2.99229663445538,0
5.66,-2.12686090830794,2.99192051594031,0
5.67,-2.12983609451846,2.99153547014728,0
5.68,-2.132810112205,2.99114150054172,0
5.69,-2.13578293460144,2.99073861066934,0
5.7,-2.13875453495238,2.99032680415616,0
5.71,-2.14172488651344,2.98990608470842,0
5.72,-2.14469396255148,2.9894764561126,0
5.73,-2.14766173634483,2.98903792223536,0
5.74,-2.15062818118355,2.98859048702349,0
5.75,-2.15359327036966,2.98813415450391,0
5.76,-2.15655697721737,2.98766892878361,0
5.77,-2.15951927505335,2.98719481404962,0
5.78,-2.16248013721692,2.98671181456896,0
5.79,-2.16543953706036,2.98621993468863,0
5.8,-2.16839744794908,2.98571917883555,0
5.81,-2.1713538432619,2.98520955151652,0
5.82,-2.17430869639129,2.98469105731817,0
5.83,-2.1772619807436,2.98416370090695,0
5.84,-2.18021366973927,2.98362748702906,0
5.85,-2.18316373681313,2.98308242051043,0
5.86,-2.18611215541459,2.98252850625666,0
5.87,-2.18905889900791,2.98196574925295,0
5.88,-2.19200394107242,2.98139415456414,0
5.89,-2.19494725510275,2.98081372733455,0
5.9,-2.19788881460911,2.98022447278805,0
5.91,-2.20082859311747,2.9796263962279,0
5.92,-2.20376656416984,2.9790195030368,0
5.93,-2.20670270132452,2.97840379867678,0
5.94,-2.20963697815627,2.97777928868917,0
5.95,-2.21256936825664,2.97714597869457,0
5.96,-2.21549984523413,2.97650387439276,0
5.97,-2.21842838271447,2.97585298156266,0
5.98,-2.22135495434083,2.97519330606232,0
5.99,-2.22427953377411,2.97452485382881,0
6,-2.22720209469309,2.9738476308782,0
6.01,-2.23012261079475,2.97316164330547,0
6.02,-2.23304105579447,2.97246689728453,0
6.03,-2.23595740342626,2.97176339906807,0
6.04,-2.23887162744301,2.97105115498759,0
6.05,-2.24178370161673,2.97033017145326,0
6.06,-2.24469359973876,2.96960045495394,0
6.07,-2.24760129562005,2.96886201205707,0
6.08,-2.25050676309135,2.96811484940863,0
